County,County Value**,Error Margin
"North Carolina","11%","10-12%"
"Alamance","11%","9-13%"
"Alexander","10%","8-11%"
"Alleghany","12%","10-14%"
"Anson","14%","12-16%"
"Ashe","10%","8-11%"
"Avery","10%","8-12%"
"Beaufort","12%","10-13%"
"Bertie","16%","13-18%"
"Bladen","13%","11-15%"
"Brunswick","9%","7-10%"
"Buncombe","9%","7-10%"
"Burke","11%","9-13%"
"Cabarrus","10%","8-11%"
"Caldwell","10%","9-12%"
"Camden","9%","8-11%"
"Carteret","9%","7-10%"
"Caswell","12%","10-14%"
"Catawba","10%","9-12%"
"Chatham","9%","8-11%"
"Cherokee","11%","9-12%"
"Chowan","12%","11-14%"
"Clay","10%","8-11%"
"Cleveland","11%","10-13%"
"Columbus","13%","11-15%"
"Craven","11%","9-13%"
"Cumberland","13%","11-15%"
"Currituck","9%","7-10%"
"Dare","8%","7-10%"
"Davidson","11%","9-12%"
"Davie","9%","8-11%"
"Duplin","13%","11-15%"
"Durham","11%","9-12%"
"Edgecombe","15%","13-17%"
"Forsyth","11%","9-13%"
"Franklin","11%","9-13%"
"Gaston","11%","9-12%"
"Gates","12%","10-13%"
"Graham","10%","9-12%"
"Granville","12%","10-13%"
"Greene","14%","12-16%"
"Guilford","11%","9-12%"
"Halifax","16%","14-18%"
"Harnett","11%","9-13%"
"Haywood","9%","8-11%"
"Henderson","9%","8-11%"
"Hertford","15%","13-17%"
"Hoke","13%","12-15%"
"Hyde","13%","11-15%"
"Iredell","9%","8-11%"
"Jackson","11%","9-12%"
"Johnston","11%","9-12%"
"Jones","13%","11-15%"
"Lee","12%","10-13%"
"Lenoir","14%","13-17%"
"Lincoln","9%","8-11%"
"Macon","10%","8-11%"
"Madison","9%","8-11%"
"Martin","14%","12-15%"
"McDowell","10%","8-12%"
"Mecklenburg","11%","9-12%"
"Mitchell","10%","8-11%"
"Montgomery","12%","10-13%"
"Moore","9%","8-10%"
"Nash","12%","10-14%"
"New Hanover","9%","8-11%"
"Northampton","15%","13-17%"
"Onslow","11%","10-13%"
"Orange","9%","7-10%"
"Pamlico","11%","9-12%"
"Pasquotank","11%","9-13%"
"Pender","10%","8-11%"
"Perquimans","11%","9-13%"
"Person","11%","10-13%"
"Pitt","12%","10-14%"
"Polk","9%","7-10%"
"Randolph","11%","9-13%"
"Richmond","14%","12-16%"
"Robeson","16%","14-18%"
"Rockingham","11%","10-13%"
"Rowan","11%","10-13%"
"Rutherford","11%","9-13%"
"Sampson","14%","12-16%"
"Scotland","15%","13-17%"
"Stanly","10%","9-12%"
"Stokes","10%","9-12%"
"Surry","11%","9-12%"
"Swain","12%","10-14%"
"Transylvania","9%","8-11%"
"Tyrrell","13%","11-15%"
"Union","9%","8-11%"
"Vance","14%","12-16%"
"Wake","9%","8-10%"
"Warren","15%","13-17%"
"Washington","14%","12-16%"
"Watauga","10%","8-12%"
"Wayne","12%","11-15%"
"Wilkes","10%","9-12%"
"Wilson","13%","12-16%"
"Yadkin","10%","9-12%"
"Yancey","10%","8-12%"